year,region,farmer,farmer_gender,fertilizer_treatment,code,mission_number,date_surveyed,ose_count,temperature,percent_ground_cover,ose_damage_percent,yield_date_havested,rendement_en_kg_ha
2021,Kaffrine,02.80,M,fertilized,02-80-01.,2,August 30th toseptember 4th,20,29,85,0,October 20th to 31th,1120
2021,Kaffrine,02.80,M,fertilized,02-80-01.,3,September 28th to october 5th,28,34,85,0,October 20th to 31th,1120
2021,Kaffrine,02.81,M,control,02-81-00.,1,July 27th to august 3th,48,27,85,4,October 20th to 31th,800
2021,Kaffrine,02.81,M,control,02-81-00.,2,August 30th toseptember 4th,7,32,90,0,October 20th to 31th,800
2021,Kaffrine,02.81,M,control,02-81-00.,3,September 28th to october 5th,63,34,95,0,October 20th to 31th,800
2021,Kaffrine,02.81,M,fertilized,02-81-01.,1,July 27th to august 3th,67,27,55,2,October 20th to 31th,1200
2021,Kaffrine,02.81,M,fertilized,02-81-01.,2,August 30th toseptember 4th,8,32,80,0,October 20th to 31th,1200
2021,Kaffrine,02.81,M,fertilized,02-81-01.,3,September 28th to october 5th,12,34,90,0,October 20th to 31th,1200
2021,Kaffrine,02.82,M,control,02-82-00.,1,July 27th to august 3th,71,29,60,4,October 20th to 31th,364
2021,Kaffrine,02.82,M,control,02-82-00.,2,August 30th toseptember 4th,2,29,85,0,October 20th to 31th,364
2021,Kaffrine,02.82,M,control,02-82-00.,3,September 28th to october 5th,32,34,95,0,October 20th to 31th,364
2021,Kaffrine,02.82,M,fertilized,02-82-01.,1,July 27th to august 3th,42,29,70,7,October 20th to 31th,637
2021,Kaffrine,02.82,M,fertilized,02-82-01.,2,August 30th toseptember 4th,4,29,80,0,October 20th to 31th,637
2021,Kaffrine,02.82,M,fertilized,02-82-01.,3,September 28th to october 5th,13,34,95,0,October 20th to 31th,637
2021,Kaffrine,02.83,M,control,02-83-00.,1,July 27th to august 3th,NA,30,NA,NA,October 20th to 31th,227
2021,Kaffrine,02.83,M,control,02-83-00.,2,August 30th toseptember 4th,NA,NA,NA,NA,October 20th to 31th,227
2021,Kaffrine,02.83,M,control,02-83-00.,3,September 28th to october 5th,NA,NA,NA,NA,October 20th to 31th,227
2021,Kaffrine,02.83,M,fertilized,02-83-01.,1,July 27th to august 3th,45,30,60,5,October 20th to 31th,500
2021,Kaffrine,02.83,M,fertilized,02-83-01.,2,August 30th toseptember 4th,30,31,95,5,October 20th to 31th,500
2021,Kaffrine,02.83,M,fertilized,02-83-01.,3,September 28th to october 5th,9,34,95,0,October 20th to 31th,500
2021,Kaffrine,02.84,M,control,02-84-00.,1,July 27th to august 3th,145,34,65,2,October 20th to 31th,665
2021,Kaffrine,02.84,M,control,02-84-00.,2,August 30th toseptember 4th,9,33,95,0,October 20th to 31th,665
2021,Kaffrine,02.84,M,control,02-84-00.,3,September 28th to october 5th,50,28,95,0,October 20th to 31th,665
2021,Kaffrine,02.84,M,fertilized,02-84-01.,1,July 27th to august 3th,128,34,70,18,October 20th to 31th,1045
2021,Kaffrine,02.84,M,fertilized,02-84-01.,2,August 30th toseptember 4th,12,33,85,0,October 20th to 31th,1045
2021,Kaffrine,02.84,M,fertilized,02-84-01.,3,September 28th to october 5th,7,28,90,0,October 20th to 31th,1045
2021,Kaffrine,02.85,M,control,02-85-00.,1,July 27th to august 3th,76,26,75,5,October 20th to 31th,962
2021,Kaffrine,02.85,M,control,02-85-00.,2,August 30th toseptember 4th,20,24,90,0,October 20th to 31th,962
2021,Kaffrine,02.85,M,control,02-85-00.,3,September 28th to october 5th,30,28,90,5,October 20th to 31th,962
2021,Kaffrine,02.85,M,fertilized,02-85-01.,1,July 27th to august 3th,82,26,60,5,October 20th to 31th,1332
2021,Kaffrine,02.85,M,fertilized,02-85-01.,2,August 30th toseptember 4th,53,24,70,12,October 20th to 31th,1332
2021,Kaffrine,02.85,M,fertilized,02-85-01.,3,September 28th to october 5th,14,28,80,0,October 20th to 31th,1332
2021,Kaffrine,02.86,M,control,02-86-00.,1,July 27th to august 3th,54,26,85,3,October 20th to 31th,260
2021,Kaffrine,02.86,M,control,02-86-00.,2,August 30th toseptember 4th,12,24,80,0,October 20th to 31th,260
2021,Kaffrine,02.86,M,control,02-86-00.,3,September 28th to october 5th,36,28,95,0,October 20th to 31th,260
2021,Kaffrine,02.86,M,fertilized,02-86-01.,1,July 27th to august 3th,32,26,90,1,October 20th to 31th,455
2021,Kaffrine,02.86,M,fertilized,02-86-01.,2,August 30th toseptember 4th,17,24,50,0,October 20th to 31th,455
2021,Kaffrine,02.86,M,fertilized,02-86-01.,3,September 28th to october 5th,10,28,90,0,October 20th to 31th,455
2021,Kaffrine,02.87,M,control,02-87-00.,1,July 27th to august 3th,30,33,60,3,October 20th to 31th,NA
2021,Kaffrine,02.87,M,control,02-87-00.,2,August 30th toseptember 4th,NA,NA,NA,NA,October 20th to 31th,NA
2021,Kaffrine,02.87,M,control,02-87-00.,3,September 28th to october 5th,NA,NA,NA,NA,October 20th to 31th,NA
2021,Kaffrine,02.87,M,fertilized,02-87-01.,1,July 27th to august 3th,23,33,70,2,October 20th to 31th,NA
2021,Kaffrine,02.87,M,fertilized,02-87-01.,2,August 30th toseptember 4th,NA,NA,NA,NA,October 20th to 31th,NA
2021,Kaffrine,02.87,M,fertilized,02-87-01.,3,September 28th to october 5th,NA,NA,NA,NA,October 20th to 31th,NA
2021,Kaffrine,02.88,M,control,02-88-00.,1,July 27th to august 3th,35,25,60,3,October 20th to 31th,560
2021,Kaffrine,02.88,M,control,02-88-00.,2,August 30th toseptember 4th,23,33,70,3,October 20th to 31th,560
2021,Kaffrine,02.88,M,control,02-88-00.,3,September 28th to october 5th,24,33,70,0,October 20th to 31th,560
2021,Kaffrine,02.88,M,fertilized,02-88-01.,1,July 27th to august 3th,28,24,65,2,October 20th to 31th,800
2021,Kaffrine,02.88,M,fertilized,02-88-01.,2,August 30th toseptember 4th,21,32,75,0,October 20th to 31th,800
2021,Kaffrine,02.88,M,fertilized,02-88-01.,3,September 28th to october 5th,20,33,75,0,October 20th to 31th,800
2021,Kaffrine,02.89,M,control,02-89-00.,1,July 27th to august 3th,85,29,60,5,October 20th to 31th,NA
2021,Kaffrine,02.89,M,control,02-89-00.,2,August 30th toseptember 4th,41,29,60,5,October 20th to 31th,NA
2021,Kaffrine,02.89,M,control,02-89-00.,3,September 28th to october 5th,41,29,60,0,October 20th to 31th,NA
2021,Kaffrine,02.89,M,fertilized,02-89-01.,1,July 27th to august 3th,65,29,60,2,October 20th to 31th,NA
2021,Kaffrine,02.89,M,fertilized,02-89-01.,2,August 30th toseptember 4th,31,29,60,0,October 20th to 31th,NA
